Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,data_source,Company Name,Tags,Location,Investors,Website,Founded Year,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
,Networking,Expressor-Software,"$6,000,000","Dec 19, 2011",,,,,,"$10,000,000","Aug 27, 2008",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"JOOR is the leading online global fashion marketplace for wholesale buying. Founded by Mona Bijoor in 2010, JOOR is based in New York City with offices in Los Angeles, Paris, Milan, and Sydney and available globally on jooraccess.com Through our innovative platform and easy-to-use technology we’re pioneering a wholesale evolution – making the process easier and faster not just because we want to, but because we believe the wholesale industry deserves better. We’ve put the entire wholesale buying process online, to enable brands and retailers to drive incremental revenue, cut costs, improve their customer experience and analyze performance through data analytics.… · More At JOOR, we’re passionate about building smart technology to keep wholesale vibrant. We don’t want to reinvent the wheel, just make it spin faster and easier. We’ve gathered industry experience in both fashion and business to create a marketplace that meets the needs of both.",Big Data Analytics,JOOR,,,The global marketplace where brands and retailers do business online.,,,"$2,250,000","Jul 19, 2011","$3,300,000","Sep 20, 2012","$14,600,000","Jul 25, 2013",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Finance,Nomis-Solutions,"$5,000,000","Sep 24, 2013",,,,,,,,"$8,000,000","Apr 23, 2007",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,,Ayasdi,"$182,000","Mar 31, 2013",,Unknown,"Sep  1, 2010","$10,000,000","Jan 16, 2013","$30,600,000","Jul 16, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
"Heyzap is redesigning mobile advertising from the ground up aiming to bring automation and transparency to the mobile ad ecosystem. In doing so, Heyzap is building a mobile app developer platform including Mediation, Direct Deals, Cross Promotion, SDK and API monitoring tools. Heyzap mediates rewarded video, interstitials, banners and other formats. We also allow app makers to acquire users using advanced targeting (e.g. app targeting) for performance (CPI) campaigns and track ROI. Heyzap is open to all mobile apps on iOS, Android and Amazon Fire.Heyzap Mediation specifically gives thousands of developers the power to dynamically test mobile ad networks… · More against each other, and automatically deploys different networks to maximize revenue. With our Mediation Insights tool, app developers benefit from true performance metrics that enable them to make country and network-specific decisions at a single glance.Heyzap ranked #4 in SF Biz Times fastest growing companies in the Bay Area.",,Heyzap,,,Mobile Advertising Done Right,"$650,000","May 27, 2009","$3,000,000","Jun 23, 2010","$4,300,000","Dec  1, 2012",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Android,Panther-Express,"$6,000,000","Jul 25, 2006",,,,,,"$15,800,000","Feb 27, 2008",,,,,IPO,GitHub_funding,,,,,,,,,,,,,,
"1) Reveal: helps tech support agents find the best tech support solutions from across the web and effortlessly shares them with the whole team.2) SupportKit: connects you to your iOS app's users so you can provide them with the knowledge and tools they need to be successful and keep coming back.  See: http://vimeo.com/1025641243) PTScx:  turn-key Premium Technology Support (PTS) solution that let’s you deliver consistent tech support across all of a customers connected devices and services - so you can meet the growing demand for a unified, cross-platform technology support experience.",Reviews and Recommendations,Radialpoint,,,Transforming the way tech support is delivered by agents and experienced by users,,,,,,,"$98,000,000","Sep 23, 2008",,,IPO,GitHub_funding,,,,,,,,,,,,,,
"YCD is a global provider of end-to-end digital signage solutions designed to help businesses attract clients, reinforce branding and ensure a measurable impact on their business.",Environmental Innovation,YCD-Multimedia,"$12,000,000","Jun 22, 2009",,,,"$8,500,000","Mar 19, 2006","$6,000,000","Oct 27, 2011","$9,000,000","Mar  1, 2008",,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Our channel marketing technology powers digital marketing results, delivering qualified leads for national brands and local businesses in five industries.",,Netsertive,"$7,000,000","Sep  4, 2014",,,,"$4,000,000","Sep 29, 2010","$7,300,000","Aug 14, 2012","$3,000,000","Sep  4, 2014",,,,GitHub_funding,,,,,,,,,,,,,,
,Photography,VytronUS,"$2,800,000","Mar 31, 2013",,,,"$6,600,000","Aug 20, 2007","$11,000,000","Jun 29, 2009",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Travel,Lockerz,"$9,000,000","Oct 31, 2013",The social commerce platform that rewards users for sharing their style. ,,,,,Unknown,"Jul  6, 2010","$36,000,000","Aug  3, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
,Software,TARIS-Biomedical,"$13,500,000","Mar 18, 2013",,,,"$15,000,000","Jun 25, 2009","$18,300,000","Apr 13, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,News,Local-Voice-Media,,,,,,,,"$3,000,000","Jul 30, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Software,Numerate,,,,"$8,199,999","Jun  6, 2014",,,"$5,500,000","Mar  1, 2009",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Software,CADFORCE,,,,,,"$1,700,000","Feb 16, 2006","$3,100,000","Dec  1, 2006",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Gemmus-Pharma,,,,,,"$1,800,000","Jun 28, 2012","$3,300,000","May 13, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Bromium redefines endpoint security with a new approach focused on isolation rather than detection. Eliminate compromises, false positives and costly remediation.",Advertising,Bromium,"$100,000","Apr  1, 2012",,,,"$9,200,000","Jun 22, 2011","$26,500,000","Jun 20, 2012","$40,000,000","Oct 23, 2013",,,-,GitHub_funding,,,,,,,,,,,,,,
,Health Care,RenovoRx,"$660,000","Apr 10, 2013",,,,,,"$1,200,000","Jan 28, 2014",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Application Platforms,Zumigo,"$3,400,000","Oct 13, 2013","Mobile location and network data for security and marketing. Enterprise scaled, globally.","$420,000","Dec 28, 2010","$1,300,000","Feb  1, 2012","$6,000,000","Aug 22, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
Good Start Genetics provides state-of-the-art accurate genetic carrier screening tests. Learn more about our product &amp; carrier screening below.,Biotechnology,Good-Start-Genetics,"$28,000,000","May  8, 2013",,,,"$18,000,000","Sep 10, 2010","$14,000,000","Apr  2, 2012",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,Semtek-Innovative-Solutions,,,,,,"$6,700,000","Oct 30, 2007",Unknown,"Sep 30, 2009",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,UltraSoC-Technologies,"$571,000","Feb  1, 2009",,,,"$3,100,000","Oct 22, 2010","$2,300,000","Jun 26, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
GainSpan designs ultra low power Wi-Fi module for battery-powered embedded WiFi applications,VoIP,GainSpan,"$7,400,000","Oct  1, 2012",,,,"$13,350,000","Sep  1, 2006","$20,000,000","Dec 19, 2007","$18,000,000","Dec  5, 2011","$19,000,000","Jun 26, 2013",-,GitHub_funding,,,,,,,,,,,,,,
,Enterprise Software,GameLogic,,,,,,,,"$18,600,000","Feb  8, 2006",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Search for vital records here! Learn more about your family history and genealogy by searching through more than 5 billion records, including vital records, at FamilyLink.com.",Networking,Familylink,,,,,,"$1,250,000","Aug 28, 2007","$2,400,000","Feb 25, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Interlace-Medical,,,,,,,,,,"$20,000,000","Jul  7, 2009",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Finance,Prolacta-Biosciences,"$5,800,000","Aug  9, 2011",,,,,,"$540,000","Nov 21, 2006","$12,500,000","Apr 30, 2007","$15,000,000","Nov  3, 2011",-,GitHub_funding,,,,,,,,,,,,,,
,Data Integration,BioCept,"$1,300,000","Dec 30, 2013",,,,"$3,600,000","Mar 29, 2010","$2,300,000","Aug 12, 2010",,,"$10,000,000","Jun 23, 2006",Series B,GitHub_funding,,,,,,,,,,,,,,
"Welcome to Trada, your #1 source for paid search management! Our community of paid search experts has years of experience and is ready to improve your ROI.",-,Trada,"$1,000,000","Apr  1, 2014",,,,"$2,200,000","Mar 17, 2010",,,"$5,750,000","Jul 21, 2010","$9,000,000","Jan  5, 2012",Seed,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Jennerex-Biotherapeutics,"$21,600,000","May 23, 2013",,,,,,,,"$5,500,000","Sep 18, 2009",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Health Care,CareKinesis,"$4,000,000","Sep 12, 2013",,,,"$1,500,000","Oct 11, 2010","$1,500,000","Apr  7, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"An early innovator in cloud-based archiving, Sonian preserves, protects and presents the world’s information. More than 19,000 customers in 40 countries trust Sonian’s secure proprietary SaaS platform and cloud search engine to retain and retrieve valuable data and protect intellectual property. Sonian manages more than 20 billion objects in the cloud; every day, 17 million new documents are uploaded to Sonian’s email archive, which is integrated with the world’s 5 largest public clouds.",Application Platforms,Sonian,,,Archive.  Search.  Act. ,,,"$5,600,000","Sep 15, 2009","$9,000,000","Dec  8, 2010","$13,600,000","May  1, 2012",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Mobile,Tatara-Systems,"$7,000,000","Jun 22, 2010",,,,,,,,"$6,000,000","Jun  2, 2005","$8,000,000","Jun 13, 2007",Series C,GitHub_funding,,,,,,,,,,,,,,
"Leading brands rely on Conductor Searchlight for web presence management and SEO, allowing them to engage customers throughout their buying journey. The results are clear: more traffic, more conversions, more revenue.",Android,Conductor,"$1,000,000","Mar 28, 2011",,,,"$2,600,000","Dec 26, 2006","$10,000,000","Apr 29, 2009","$20,000,000","Oct 31, 2012",,,,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,Pionetics,,,,,,,,,,"$6,400,000","Feb 10, 2005",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"MobileAware has created an On-device CRM platform for mobile network operators to engage with their customers for all of their service and sales needs. This platform effectively: increases call deflection, revenue and customer retention; reduces time to market, and creates a unified On-Device CRM user experience for the telco.Using MobileAware's application, consumers can check their usage, view and pay their bill, add or remove features and devices, change their plan, or even live chat with an agentTo complement this unparalleled user experience that MobileAware, the platform includes push notifications and alerts and a comprehensive analytics package to… · More make the most out of using the application.",Mobile,MobileAware,"$6,960,000","May 17, 2006",,,,,,Unknown,"Aug 11, 2008",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,CoAdna-Photonics,,,,,,,,"$2,600,000","Feb 14, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,Nexenta-Systems,"$3,900,000","Oct  1, 2012",,,,,,,,"$21,000,000","Jan 18, 2012","$24,000,000","Feb 27, 2013",,GitHub_funding,,,,,,,,,,,,,,
"Sumo Logic immediately transforms machine logs into new sources of operations, security and compliance intelligence.Starting with log data, the single-largest enterprise data set, Sumo Logic Log Management and Analytics Service helps customers achieve unprecedented operational efficiencies, a stronger security posture and more streamlined compliance with regulatory mandates by providing real-time actionable insights from raw machine data.Sumo Logic enables IT operations teams to perform rapid root cause analysis of critical IT infrastructure; DevOps teams to quickly analyze and troubleshoot production application issues; and IT Security teams to uncover… · More security incidents buried in terabytes of log data.",Personal Finance,Sumo-Logic,"$80,000,000","Jun  1, 2015",,,,,,"$15,000,000","Jan 31, 2012","$30,000,000","Nov 28, 2012","$30,000,000","May 20, 2014",Series C,GitHub_funding,,,,,,,,,,,,,,
"What inspires one user to action is not the same as the next! Dynamic Creative Optimization helps you win consumer engagement and conversion by giving you the power to easily deliver what consumers crave most in their interactions with brands – relevance. Cognitive Match provides the world’s best Dynamic Creative Optimization solution for Display Ads and Brand Sites that delivers relevance by giving you the power to talk to your audiences as individuals, not as general media targets.",Data Visualization,Cognitive-Match,,,Dynamic Creative Optimization for Display Ads,,,"$1,650,000","Jul  1, 2009","$2,500,000","Feb  4, 2010","$6,000,000","May 18, 2011",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Mobile,Azaire-Networks,,,,,,,,,,"$21,000,000","Aug 25, 2006",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Online Shopping,VirtualLogix,"$1,288,979","Jan 12, 2010",,,,"$12,000,000","Jan  1, 2004","$16,000,000","Jul 11, 2007",Unknown,"Apr 21, 2008",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,Genapsys,,,,,,"$8,500,000","Mar 22, 2013","$37,000,000","Nov 14, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
"Efficient, scalable, and multi-screen, Flite is the only SaaS ad platform powering both mobile and display advertising. As the leader in Paid Media Publishing, Flite allows advertisers to scale content marketing and web app functionality into their digital advertising. Marketers use the self-service Flite Platform to reduce the complexity and cost of delivering differentiated ad products that engage audiences. Agile marketers respond with agility to performance metrics and daily events, by updating your creatives with fresh content and functionality.Flite customers enjoy more richly interactive ads, faster ad builds and shorter optimization cycles. The Flite… · More Platform serves, updates, and measures application-rich advertising in real-time.",Health Care,Flite,"$15,000,000","Apr  1, 2013",The first real-time design tool for advertising in a multi-screen world.,,,,,,,"$23,000,000","Mar 18, 2014","$9,000,000","Jun 12, 2013",Series A,GitHub_funding,,,,,,,,,,,,,,
,-,Metaboli,,,,,,,,,,"$7,910,000","Mar 31, 2008",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Curated Web,Blazent,"$3,000,000","Jan 15, 2014",,,,"$4,200,000","Jan  1, 2002","$9,200,000","Mar 10, 2003",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Zurex-Pharma,"$846,500","Jul 17, 2013",,,,"$6,200,000","May 22, 2012","$4,099,999","Jul  2, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Corepair,,,,,,,,"$1,200,000","Feb 11, 2008","$4,500,000","Apr 30, 2010",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,-,Wheeler-Real-Estate-Investment-Trust,,,,,,,,"$18,000,000","Sep 18, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Web Hosting,Rheonix,"$6,000,000","Feb  9, 2012",,"$14,000,000","Jun 11, 2014","$12,600,000","May 24, 2010",,,"$12,000,000","Dec 19, 2013",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,BioConsortia,,,,,,,,"$15,000,000","Apr  7, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Mobile,Revver,,,,,,"$4,000,000","Nov  1, 2005","$8,700,000","Apr  1, 2006",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Latin America,Applied-Proteomics,"$22,500,000","Apr 27, 2012",,,,,,,,"$28,000,000","Aug 20, 2013",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Networking,Project-Playlist,,,,,,"$3,000,000","Sep  1, 2007","$20,000,000","Nov 10, 2008",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Web CMS,Genesis-Media,"$4,000,000","Apr 10, 2014",Trade attention to targeted ads for access to premium content and services,,,"$3,000,000","Sep  1, 2012","$6,000,000","Apr 10, 2014",,,,,Series D,GitHub_funding,,,,,,,,,,,,,,
"BroadSoft's is the global leader in Voice Over IP (VoIP) communication services, enabling telecommunication service providers to deliver hosted telephony, multimedia and unified communications and mobile services.",Office Space,BroadSoft,"$1,500,000","Nov  2, 2009",,,,,,,,"$32,500,000","Sep  9, 2002","$10,000,000","Jul 17, 2007",IPO,GitHub_funding,,,,,,,,,,,,,,
,Curated Web,ClickandBuy,,,,,,,,"$23,600,000","Jan  1, 2006","$6,400,000","Nov  1, 2006",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Education,Presidium-Learning,"$7,500,000","Jul  2, 2008",,,,,,"$2,000,000","Jun 19, 2009",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Web Hosting,Ocarina-Networks,"$3,000,000","Nov 23, 2009",,,,,,"$20,000,000","Feb 25, 2009",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,Modiv-Media,,,,,,"$8,000,000","Dec 14, 2007","$1,200,000","Jul  9, 2009",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,Zyme-Solutions,Unknown,"May 20, 2013",,,,"$3,040,000","Sep 12, 2005","$3,000,000","May  1, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Cogentus-Pharmaceuticals,,,,,,,,,,"$62,500,000","Dec 21, 2007",,,-,GitHub_funding,,,,,,,,,,,,,,
,News,Chenal-Media,,,,,,,,"$7,000,000","Aug 24, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
PrimeRevenue is the acknowledged leader in working capital finance solutions helping companies worldwide optimize cash flow.,Finance,PrimeRevenue,"$1,600,000","Oct 14, 2010",,,,,,"$10,000,000","Sep 19, 2005",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,GeoVax,"$2,200,000","Apr  2, 2012",,,,,,"$1,700,000","Dec 19, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Curexo-Technology,,,,,,,,,,"$13,200,000","Jun  1, 2010",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Gradalis,,,,,,,,"$24,000,000","Jan  3, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Chunyu,,,,,,"$3,000,000","Nov  1, 2011","$1,000,000","Mar  1, 2013","$50,000,000","Aug 19, 2014",,,-,GitHub_funding,,,,,,,,,,,,,,
,,Predictive-Biosciences,,,,,,"$10,000,000","Dec 18, 2006","$21,800,000","Oct 16, 2008","$25,000,000","Jun 18, 2010",,,,GitHub_funding,,,,,,,,,,,,,,
,Software,Optasite,,,,,,,,,,"$60,000,000","Mar 17, 2006",,,-,GitHub_funding,,,,,,,,,,,,,,
,-,TouchPal,,,,,,"$5,000,000","Jun  1, 2010",Unknown,"Jan  1, 2011","$20,000,000","Sep 17, 2014",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Cornerstone-Pharmaceuticals,"$3,300,000","Mar  7, 2014",,,,,,"$6,100,000","Jan 26, 2010",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Video,Rivulet-Communications,"$1,600,000","Oct  1, 2009",,,,,,,,"$11,500,000","Feb 24, 2009",,,-,GitHub_funding,,,,,,,,,,,,,,
,Enterprise Software,AlephCloud-Systems,,,,,,"$2,000,000","May  4, 2012","$7,500,000","May 22, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Enterprise Software,VMTurbo,,,,,,,,"$10,000,000","Nov 29, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Fulcrum-SP-Materials,,,,,,"$3,300,000","Jun  1, 2012","$2,000,000","Jun 20, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"cVidya is a global provider of Revenue Analytics, Revenue Assurance, Telecom Fraud Management, Sales Performance Management and Marketing Analytics solutions for Telecom operators",Customer Support Tools,cVidya,"$3,000,000","Feb  1, 2011",,,,,,,,"$12,000,000","Feb  1, 2008","$10,000,000","Jan  1, 2010",Series C,GitHub_funding,,,,,,,,,,,,,,
"Cut 70% of ERP Upgrade and Testing Efforts. Cloud-based automation for SAP Upgrades, SAP Support Packages, SAP Testing &amp; Oracle EBS R12 Upgrades.",-,Panaya,"$6,000,000","Sep 21, 2010",,,,,,"$5,000,000","Aug 10, 2009","$7,000,000","Jun  7, 2010","$16,000,000","Jan  8, 2013",Series C,GitHub_funding,,,,,,,,,,,,,,
"Greenlight Planet is on a mission to revolutionize rural energy access for the 1.5 billion off-grid villagers who use  dangerous oil lamps for light. In 6 years we've sold >3 million solar lights to off-grid families in Asia and Africa—the latest 1.5 million customers acquired in the past year. Our products were recognized recently as 'the best solar lamp' in the Economist.Our products change lives, but they're expensive by village standards and so require more ""push"" in the absence of consumer ""pull.""  We've built a massive sales force of trusted, village sales agents who evangelize our solar-powered lanterns in… · More their community and build trust in our brand. At $35, our Sun King™ solar lanterns cost the equivalent of 1 months' wages for the average consumer.  But in thousands of villages where our sellers operate, >30% of households have purchased our product and given up kerosene lighting forever.",Ventures for Good,Greenlight-Planet,,,Off-grid village lighting driven by game-changing rural distribution,,,,,"$10,000,000","Jan 30, 2015",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Health Care,CardiAQ-Valve-Technologies,"$750,000","May 13, 2009",,,,"$6,500,000","Jan 12, 2010","$37,300,000","Nov 29, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
Financial market data on-demand. Xignite financial Web services help build smarter websites and applications in minutes with zero up-front investment.,Stock Exchanges,Xignite,"$675,000","Oct 28, 2010",,,,"$2,200,000","Jun  7, 2006","$10,000,000","Sep 13, 2011",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Auctions,uCirrus,"$1,900,000","Jul 23, 2012",,,,"$1,700,000","Jun  8, 2010","$4,000,000","Oct 27, 2010","$5,500,000","Jan 11, 2013",,,-,GitHub_funding,,,,,,,,,,,,,,
,Social Media,Eurekster,,,,,,"$1,350,000","Dec  1, 2004","$5,500,000","Mar 13, 2007",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,ChemoCentryx,"$33,000,000","Jun 17, 2004",,,,,,,,"$17,700,000","Aug 24, 2006","$29,800,000","Mar 22, 2007",Series C,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,JHL-Biotech,,,,,,,,"$35,000,000","Jun 19, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,NeuroTherapeutics-Pharma,"$12,000,000","Dec 15, 2011",,,,,,"$43,000,000","May 20, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Career Management,Vurv-Technology,,,,,,,,,,"$5,000,000","Jun 16, 2006",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"Hailo is the evolution of the hail - a free smartphone app which puts people just two taps away from a licensed vehicle, and lets drivers get more passengers when they want them.A Hailo hail is accepted around the world every two seconds from Hailo’s global network of over 50,000 drivers and more than a million passengers. Launched in November 2011, Hailo is available in London, New York, all across Ireland, Toronto, Chicago, Boston, Madrid, Barcelona, Washington DC, Montreal and Osaka. Hailo has carried over ten million passengers and grown to annualized sales of well over $100M.Founded by three taxi drivers and three internet entrepreneurs, Hailo has… · More raised over $100M from the best investors anywhere, including Union Square Ventures, Accel Partners, Wellington Partners, Atomico Ventures and Sir Richard Branson.Hailo is available as a free download from the iTunes App Store and Google Play. Simply search for ""Hailo"".",Mobile Analytics,Hailo,"$26,500,000","Jan 20, 2014",The Taxi Magnet,"$3,000,000","Apr  1, 2011","$17,000,000","Mar 29, 2012","$30,600,000","Dec 31, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Parking,Glyde,Unknown,"Nov  1, 2009",,,,"$6,000,000","Jan  1, 2007","$21,000,000","Dec  1, 2010",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Software,Jobfox,"$2,000,000","Dec 24, 2009",,,,"$7,000,000","Apr  1, 2005","$13,000,000","May  1, 2006","$20,000,000","Jan  1, 2008",,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Zolo uses TDLAS to measure temperature, CO, and O2 for combustion monitoring, optimization and improved efficiency",Fashion,Zolo-Technologies,"$1,500,000","Sep 25, 2009",,,,,,,,"$5,000,000","Jul 15, 2005","$12,500,000","Jan  6, 2007",Series B,GitHub_funding,,,,,,,,,,,,,,
,Semiconductors,Roamware,Unknown,"Jun  9, 2008",,,,,,,,"$14,000,000","Oct 15, 2005",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,-,Blackwave,,,,,,"$5,000,000","Dec  1, 2006","$16,000,000","Oct  1, 2007","$7,000,000","Sep 30, 2009",,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Ruby Ribbon is a new social commerce apparel company, supported by a nationwide network of independent personal stylists",Fashion,Ruby-Ribbon,"$3,000,000","May  1, 2012",,,,,,"$8,500,000","Apr 30, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Hawaii Oceanic Technology, Inc. offers technology for domesticating seafood production in the open ocean.  Our patented fish farming system called the Oceansphere is designed to operate in deep ocean waters, a much healthier environment for raising seafood, which promotes faster growth and lower food conversion ratios.  The Oceansphere is highly automated, self-positioning, submersible and un-tethered to the ocean floor allowing for reduced labor, rapid deployment and minimal environmental impact. A centralized cloud based command, control and monitoring capability further reduces costs and labor, providing operators with critical environmental and fish health information,… · More emergency response to predation, poaching and piracy and regulatory compliance data.  The U.N. Food Agriculture Organization claims the $100 Billion farmed seafood industry must double to meet global demand.  The market for sea-farming equipment is expected to be at least $75 Billion.",Agriculture,Hawaii-Oceanic-Technology,,,High tech fish farming,,,"$1,000,000","Dec 31, 2007","$1,000,000","Dec 31, 2009",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,GrubHub,"$50,000,000","Sep 20, 2011",,,,"$1,100,000","Nov  1, 2007","$2,000,000","Mar 23, 2009","$11,000,000","Nov  9, 2010","$20,000,000","Mar  9, 2011",,GitHub_funding,,,,,,,,,,,,,,
,-,Purfresh,"$1,200,000","Apr  1, 2013",,,,"$10,600,000","Apr 26, 2005","$7,000,000","Dec 14, 2006","$25,000,000","Feb 28, 2008","$10,000,000","Mar 12, 2010",-,GitHub_funding,,,,,,,,,,,,,,
,Manufacturing,Solais-Lighting,"$2,100,000","Dec  9, 2009",,,,,,"$1,750,000","Nov 21, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"With LYTRO ILLUM, experience breakthrough photography with the first high-end camera that lets you capture and harness the power of light field, allowing you to create living pictures.",Social Travel,Lytro,,,,,,"$50,000,000","Jun  1, 2011","$40,000,000","Nov 20, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Content Discovery,Socialcast,,,The New Way to Work,"$400,000","Apr  6, 2009","$1,000,000","Apr  6, 2009","$8,000,000","Mar 31, 2010",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
CollabNet is a leading provider of Enterprise Cloud Development and Agile ALM products and services for software-driven organizations.,Mobile Security,Collabnet,"$2,500,000","Feb 26, 2013",,,,,,"$9,500,000","Sep  6, 2005",,,,,,GitHub_funding,,,,,,,,,,,,,,
"Automating on-boarding and deployment of server applications to private, public, and hybrid clouds, AppZero brings one-click appstore simplicity to Windows server applications.  AppZero is the fastest and most flexible way to move workloads across clouds and datacenter servers, without re-engineering, re-installation, or lock-in.  Taking an application-centric approach to moving Windows Server applications, AppZero uses application images rather than server or machine images. AppZero encapsulates an application and its dependencies in what it calls a “virtual application appliance” (VAA), without a virtual machine (VM). The result is application flexibility that… · More is hypervisor-agnostic, cloud independent, and fast.",Virtualization,AppZero,,,Enterprise application migration,,,,,"$3,000,000","Mar  7, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Gambling,DotBlu,,,,"$250,000","Jan  1, 2007","$2,000,000","Dec 16, 2008","$1,500,000","Sep 24, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Tocagen,"$8,500,000","Jul 11, 2014",,,,,,"$10,800,000","Jun  2, 2009",,,"$7,800,000","Mar  9, 2010",Series A,GitHub_funding,,,,,,,,,,,,,,
,E-Commerce,Primus-Power,"$11,000,000","May 31, 2011",,,,,,,,"$20,000,000","Feb  4, 2014",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Omthera-Pharmaceuticals,"$17,600,000","Feb 28, 2013",,,,"$6,500,000","Mar 30, 2010","$33,900,000","Mar 14, 2011",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Retail,Appfolio,"$8,000,000","Aug 18, 2009",,,,,,"$22,000,000","Jun  1, 2008",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
